渔船ID,x,y,速度,方向,time
10444,6102842.806399203,5111986.1571139265,0.0,0,1120 23:53:56
10444,6102842.806399203,5111986.1571139265,0.0,0,1120 23:43:57
10444,6102842.806399203,5111986.1571139265,0.0,0,1120 23:33:57
10444,6102842.806399203,5111986.1571139265,0.0,0,1120 23:23:57
10444,6102842.806399203,5111986.1571139265,0.0,0,1120 23:14:54
10444,6102842.806399203,5111986.1571139265,0.16,0,1120 23:03:56
10444,6102842.806399203,5111986.1571139265,0.05,0,1120 22:53:56
10444,6102842.806399203,5111986.1571139265,0.05,0,1120 22:43:56
10444,6102842.806399203,5111986.1571139265,0.0,0,1120 22:33:56
10444,6102842.806399203,5111986.1571139265,0.0,0,1120 22:23:57
10444,6102842.806399203,5111986.1571139265,0.0,0,1120 22:13:56
10444,6102842.806399203,5111986.1571139265,0.0,0,1120 22:03:56
10444,6102842.806399203,5111986.1571139265,0.0,0,1120 21:53:56
10444,6102842.806399203,5111986.1571139265,0.0,0,1120 21:43:56
10444,6102842.806399203,5111986.1571139265,0.0,0,1120 21:33:56
10444,6102842.806399203,5111986.1571139265,0.0,0,1120 21:23:56
10444,6102842.806399203,5111986.1571139265,0.0,0,1120 21:14:54
10444,6102842.806399203,5111986.1571139265,0.0,0,1120 21:03:57
10444,6102842.806399203,5111986.1571139265,0.0,0,1120 20:53:57
10444,6102842.806399203,5111986.1571139265,0.0,0,1120 20:43:56
10444,6102842.806399203,5111986.1571139265,0.0,0,1120 20:33:56
10444,6102842.806399203,5111986.1571139265,0.0,0,1120 20:23:56
10444,6102842.806399203,5111986.1571139265,0.0,0,1120 20:13:56
10444,6102842.806399203,5111986.1571139265,0.0,0,1120 20:03:56
10444,6102842.806399203,5111986.1571139265,0.0,0,1120 19:53:56
10444,6102842.806399203,5111986.1571139265,0.0,0,1120 19:43:56
10444,6102842.806399203,5111986.1571139265,0.05,0,1120 19:33:56
10444,6102842.806399203,5111986.1571139265,0.0,0,1120 19:23:57
10444,6102842.806399203,5111986.1571139265,0.05,0,1120 19:14:55
10444,6102842.806399203,5111986.1571139265,0.0,0,1120 19:03:57
10444,6102842.806399203,5111986.1571139265,0.0,0,1120 18:53:57
10444,6102842.806399203,5111986.1571139265,0.0,0,1120 18:43:57
10444,6102842.806399203,5111986.1571139265,0.0,0,1120 18:33:57
10444,6102842.806399203,5111986.1571139265,0.0,0,1120 18:23:57
10444,6102842.806399203,5111986.1571139265,0.0,0,1120 18:13:57
10444,6102842.806399203,5111986.1571139265,0.05,0,1120 18:03:58
10444,6102842.806399203,5111986.1571139265,0.0,0,1120 17:53:58
10444,6102842.806399203,5111986.1571139265,0.0,0,1120 17:43:58
10444,6102842.806399203,5111986.1571139265,0.05,0,1120 17:33:58
10444,6102842.806399203,5111986.1571139265,0.0,0,1120 17:23:58
10444,6102842.806399203,5111986.1571139265,0.0,0,1120 17:14:55
10444,6102842.806399203,5111986.1571139265,0.0,0,1120 17:03:58
10444,6102842.806399203,5111986.1571139265,0.0,0,1120 16:53:58
10444,6102842.806399203,5111986.1571139265,0.0,0,1120 16:43:58
10444,6102842.806399203,5111986.1571139265,0.05,0,1120 16:33:57
10444,6102842.806399203,5111986.1571139265,0.0,0,1120 16:23:58
10444,6102842.806399203,5111986.1571139265,0.0,0,1120 16:13:58
10444,6102842.806399203,5111986.1571139265,0.0,0,1120 16:03:57
10444,6102842.806399203,5111986.1571139265,0.0,0,1120 15:53:57
10444,6102842.806399203,5111986.1571139265,0.0,0,1120 15:43:57
10444,6102842.806399203,5111986.1571139265,0.05,0,1120 15:33:57
10444,6102842.806399203,5111986.1571139265,0.05,0,1120 15:23:57
10444,6102842.806399203,5111986.1571139265,0.0,0,1120 15:14:55
10444,6102842.806399203,5111986.1571139265,0.05,0,1120 15:03:57
10444,6102842.806399203,5111986.1571139265,0.0,0,1120 14:53:58
10444,6102842.806399203,5111986.1571139265,0.0,0,1120 14:43:58
10444,6102842.806399203,5111986.1571139265,0.0,0,1120 14:33:58
10444,6102842.806399203,5111986.1571139265,0.0,0,1120 14:23:58
10444,6102842.806399203,5111986.1571139265,0.0,0,1120 14:13:58
10444,6102842.806399203,5111986.1571139265,0.0,0,1120 14:03:58
10444,6102842.806399203,5111986.1571139265,0.0,0,1120 13:53:58
10444,6102842.806399203,5111986.1571139265,0.05,0,1120 13:43:58
10444,6102842.806399203,5111986.1571139265,0.0,0,1120 13:33:58
10444,6102842.806399203,5111986.1571139265,0.0,0,1120 13:23:58
10444,6102842.806399203,5111986.1571139265,0.0,0,1120 13:14:56
10444,6102842.806399203,5111986.1571139265,0.05,0,1120 13:03:58
10444,6102842.806399203,5111986.1571139265,0.0,0,1120 12:53:58
