渔船ID,lat,lon,速度,方向,time,type
20012,24.629,118.667,0.0,30,1012 23:51:10,拖网
20012,24.629,118.667,0.22,170,1012 23:41:09,拖网
20012,24.629,118.667,0.32,71,1012 23:31:10,拖网
20012,24.629,118.667,0.11,0,1012 23:21:10,拖网
20012,24.629,118.667,0.22,0,1012 23:11:10,拖网
20012,24.629,118.667,0.32,61,1012 23:01:09,拖网
20012,24.629,118.667,0.32,81,1012 22:51:06,拖网
20012,24.629,118.667,0.22,0,1012 22:41:05,拖网
20012,24.629,118.667,0.22,0,1012 22:31:06,拖网
20012,24.629,118.667,0.22,0,1012 22:21:16,拖网
20012,24.629,118.667,0.0,0,1012 22:11:04,拖网
20012,24.629,118.667,0.0,163,1012 22:01:04,拖网
20012,24.629,118.667,0.0,171,1012 21:51:02,拖网
20012,24.629,118.667,0.11,192,1012 21:41:05,拖网
20012,24.629,118.667,0.32,265,1012 21:31:02,拖网
20012,24.629,118.667,0.32,30,1012 21:21:03,拖网
20012,24.629,118.667,0.11,0,1012 21:11:00,拖网
20012,24.629,118.667,0.11,256,1012 21:00:59,拖网
20012,24.629,118.667,0.22,250,1012 20:50:59,拖网
20012,24.629,118.667,0.22,122,1012 20:40:59,拖网
20012,24.629,118.667,0.11,0,1012 20:30:59,拖网
20012,24.629,118.667,0.11,0,1012 20:20:58,拖网
20012,24.629,118.667,0.22,250,1012 20:10:57,拖网
20012,24.629,118.667,0.0,319,1012 20:01:29,拖网
20012,24.629,118.667,0.22,253,1012 19:50:55,拖网
20012,24.629,118.668,0.11,154,1012 19:40:58,拖网
20012,24.629,118.667,0.22,120,1012 19:20:56,拖网
20012,24.629,118.667,0.32,178,1012 19:10:55,拖网
20012,24.629,118.667,0.11,139,1012 19:00:58,拖网
20012,24.629,118.667,0.11,120,1012 18:50:56,拖网
20012,24.629,118.667,0.32,154,1012 18:40:54,拖网
20012,24.629,118.667,0.11,0,1012 18:30:54,拖网
20012,24.629,118.667,0.22,114,1012 18:20:53,拖网
20012,24.629,118.667,0.22,104,1012 18:10:56,拖网
20012,24.629,118.667,0.11,0,1012 18:00:52,拖网
20012,24.629,118.667,0.0,0,1012 17:51:09,拖网
20012,24.629,118.667,0.22,262,1012 17:30:51,拖网
20012,24.629,118.667,0.11,0,1012 17:20:49,拖网
20012,24.629,118.667,0.0,0,1012 17:10:55,拖网
20012,24.629,118.667,0.0,0,1012 16:51:01,拖网
20012,24.629,118.668,0.22,287,1012 16:40:50,拖网
20012,24.629,118.667,0.11,0,1012 16:30:47,拖网
20012,24.629,118.667,0.22,0,1012 16:20:47,拖网
20012,24.629,118.667,0.0,0,1012 16:10:58,拖网
20012,24.629,118.667,0.0,314,1012 15:50:43,拖网
20012,24.629,118.667,0.11,8,1012 15:40:45,拖网
20012,24.629,118.667,0.22,71,1012 15:30:47,拖网
20012,24.629,118.667,0.32,81,1012 15:20:45,拖网
20012,24.629,118.667,0.11,0,1012 15:10:44,拖网
20012,24.629,118.667,0.22,146,1012 15:01:12,拖网
20012,24.629,118.667,0.32,156,1012 14:50:42,拖网
20012,24.629,118.667,0.22,10,1012 14:40:41,拖网
20012,24.629,118.667,0.11,61,1012 14:30:41,拖网
20012,24.629,118.667,0.32,0,1012 14:20:39,拖网
20012,24.629,118.667,0.0,353,1012 14:10:39,拖网
20012,24.629,118.667,0.22,0,1012 14:00:40,拖网
20012,24.629,118.667,0.0,61,1012 13:50:36,拖网
20012,24.629,118.667,0.0,0,1012 13:40:39,拖网
20012,24.629,118.667,0.32,337,1012 13:30:39,拖网
20012,24.629,118.667,0.0,223,1012 13:20:38,拖网
20012,24.629,118.667,0.0,10,1012 13:10:47,拖网
20012,24.629,118.667,0.0,291,1012 12:51:24,拖网
20012,24.629,118.667,0.11,128,1012 12:30:36,拖网
20012,24.629,118.667,0.11,273,1012 12:20:35,拖网
20012,24.629,118.667,0.0,0,1012 12:10:37,拖网
20012,24.629,118.667,0.0,209,1012 12:00:34,拖网
20012,24.629,118.667,0.0,111,1012 11:50:44,拖网
20012,24.629,118.667,0.22,0,1012 11:30:30,拖网
20012,24.629,118.667,0.0,0,1012 11:21:04,拖网
20012,24.629,118.667,0.32,0,1012 11:11:33,拖网
20012,24.629,118.667,0.22,167,1012 10:50:29,拖网
20012,24.629,118.667,0.11,71,1012 10:40:29,拖网
20012,24.629,118.667,0.22,0,1012 10:30:30,拖网
20012,24.629,118.668,0.22,352,1012 10:20:28,拖网
20012,24.629,118.667,0.22,222,1012 10:10:29,拖网
20012,24.629,118.667,0.0,184,1012 10:00:50,拖网
20012,24.629,118.668,0.0,0,1012 09:50:22,拖网
20012,24.629,118.667,0.11,0,1012 09:40:27,拖网
20012,24.629,118.668,0.11,119,1012 09:30:23,拖网
20012,24.629,118.667,5.5,346,1012 09:20:21,拖网
20012,24.629,118.668,0.0,30,1012 09:10:21,拖网
20012,24.629,118.668,0.0,320,1012 09:00:21,拖网
20012,24.629,118.667,0.0,50,1012 08:50:24,拖网
20012,24.629,118.667,0.32,277,1012 08:40:21,拖网
20012,24.629,118.667,0.22,251,1012 08:30:48,拖网
20012,24.629,118.667,0.11,20,1012 08:20:30,拖网
