渔船ID,lat,lon,速度,方向,time,type
23225,26.316,119.862,0.0,0,1006 23:44:43,拖网
23225,26.316,119.862,0.22,0,1006 23:34:42,拖网
23225,26.316,119.862,0.0,0,1006 23:24:42,拖网
23225,26.316,119.862,0.0,0,1006 23:15:05,拖网
23225,26.316,119.862,0.0,309,1006 22:54:39,拖网
23225,26.317,119.862,0.11,0,1006 22:44:39,拖网
23225,26.316,119.862,0.0,0,1006 22:34:39,拖网
23225,26.316,119.862,0.0,146,1006 22:23:47,拖网
23225,26.316,119.862,0.32,0,1006 22:16:03,拖网
23225,26.317,119.862,0.32,0,1006 21:54:37,拖网
23225,26.317,119.862,0.11,342,1006 21:43:44,拖网
23225,26.317,119.862,0.11,0,1006 21:34:44,拖网
23225,26.317,119.862,0.32,0,1006 21:24:43,拖网
23225,26.317,119.862,0.22,0,1006 21:14:38,拖网
23225,26.317,119.862,0.22,170,1006 21:03:40,拖网
23225,26.317,119.862,0.22,345,1006 20:54:31,拖网
23225,26.317,119.862,0.0,0,1006 20:44:34,拖网
23225,26.317,119.862,0.22,0,1006 20:34:36,拖网
23225,26.316,119.862,0.22,0,1006 20:24:37,拖网
23225,26.316,119.862,0.0,0,1006 20:14:36,拖网
23225,26.316,119.862,0.32,61,1006 20:04:50,拖网
23225,26.317,119.862,0.32,168,1006 19:54:05,拖网
23225,26.317,119.862,0.11,0,1006 19:44:21,拖网
23225,26.317,119.862,0.0,0,1006 19:34:24,拖网
23225,26.317,119.861,0.0,30,1006 19:24:25,拖网
23225,26.316,119.861,0.0,0,1006 19:14:23,拖网
23225,26.316,119.862,0.22,0,1006 19:04:22,拖网
23225,26.316,119.862,0.0,112,1006 18:53:31,拖网
23225,26.316,119.862,0.0,350,1006 18:44:18,拖网
23225,26.316,119.862,0.32,204,1006 18:33:28,拖网
23225,26.316,119.862,0.11,0,1006 18:24:18,拖网
23225,26.316,119.862,0.0,0,1006 18:14:15,拖网
23225,26.316,119.862,0.32,253,1006 17:54:16,拖网
23225,26.316,119.862,0.11,0,1006 17:44:14,拖网
23225,26.316,119.862,0.0,0,1006 17:34:14,拖网
23225,26.316,119.862,0.22,299,1006 17:24:15,拖网
23225,26.316,119.862,0.32,240,1006 17:14:16,拖网
23225,26.316,119.862,0.32,91,1006 17:04:48,拖网
23225,26.316,119.862,0.22,176,1006 16:44:32,拖网
23225,26.316,119.862,0.11,225,1006 16:24:11,拖网
23225,26.317,119.862,0.32,91,1006 16:14:10,拖网
23225,26.316,119.862,0.11,142,1006 16:04:07,拖网
23225,26.317,119.862,0.11,320,1006 15:43:17,拖网
23225,26.317,119.862,0.22,0,1006 15:33:18,拖网
23225,26.317,119.862,0.32,0,1006 15:24:11,拖网
23225,26.317,119.862,0.22,0,1006 15:14:10,拖网
23225,26.316,119.862,0.32,0,1006 15:04:09,拖网
23225,26.316,119.862,0.22,0,1006 14:54:08,拖网
23225,26.316,119.862,0.22,30,1006 14:44:06,拖网
23225,26.316,119.862,0.32,20,1006 14:34:06,拖网
23225,26.316,119.862,0.22,181,1006 14:24:06,拖网
23225,26.316,119.862,0.32,0,1006 14:14:10,拖网
23225,26.316,119.862,0.22,0,1006 13:54:02,拖网
23225,26.316,119.862,0.11,0,1006 13:43:57,拖网
23225,26.316,119.862,0.32,71,1006 13:34:00,拖网
23225,26.316,119.862,0.22,91,1006 13:24:01,拖网
23225,26.316,119.862,0.22,0,1006 13:13:59,拖网
23225,26.316,119.862,0.22,0,1006 13:05:01,拖网
23225,26.316,119.862,0.32,210,1006 12:44:05,拖网
23225,26.316,119.861,0.22,0,1006 12:33:57,拖网
23225,26.316,119.862,0.22,20,1006 12:23:56,拖网
23225,26.316,119.862,0.11,160,1006 12:13:53,拖网
23225,26.316,119.862,0.11,0,1006 12:04:21,拖网
23225,26.316,119.862,0.0,0,1006 11:43:51,拖网
23225,26.316,119.862,0.22,179,1006 11:23:52,拖网
23225,26.316,119.862,0.0,272,1006 11:13:12,拖网
23225,26.316,119.862,0.32,145,1006 11:03:49,拖网
23225,26.316,119.862,0.22,0,1006 10:53:48,拖网
23225,26.316,119.862,0.32,0,1006 10:43:09,拖网
23225,26.316,119.862,0.32,0,1006 10:33:46,拖网
23225,26.316,119.862,0.32,187,1006 10:23:47,拖网
23225,26.316,119.862,0.32,0,1006 10:13:07,拖网
23225,26.316,119.862,0.32,10,1006 10:03:47,拖网
23225,26.316,119.862,0.0,152,1006 09:42:52,拖网
23225,26.316,119.862,0.0,264,1006 09:33:46,拖网
23225,26.317,119.862,0.0,101,1006 09:22:55,拖网
23225,26.317,119.862,0.11,0,1006 09:13:06,拖网
23225,26.317,119.862,0.11,0,1006 09:03:45,拖网
23225,26.317,119.862,0.11,0,1006 08:53:44,拖网
23225,26.317,119.862,0.11,0,1006 08:43:42,拖网
23225,26.317,119.862,0.22,0,1006 08:33:42,拖网
23225,26.317,119.862,0.11,0,1006 08:23:43,拖网
23225,26.317,119.862,0.0,61,1006 08:13:43,拖网
23225,26.317,119.862,0.11,0,1006 08:03:42,拖网
23225,26.317,119.862,0.11,0,1006 07:53:39,拖网
23225,26.317,119.862,0.11,0,1006 07:43:37,拖网
23225,26.317,119.862,0.22,129,1006 07:33:36,拖网
23225,26.317,119.862,0.11,142,1006 07:23:36,拖网
23225,26.316,119.862,0.0,141,1006 07:12:48,拖网
23225,26.317,119.862,0.32,142,1006 07:02:48,拖网
23225,26.317,119.862,0.22,151,1006 06:53:37,拖网
23225,26.317,119.862,0.32,0,1006 06:43:43,拖网
23225,26.317,119.862,0.0,135,1006 06:33:36,拖网
23225,26.317,119.862,0.32,30,1006 06:23:34,拖网
23225,26.316,119.862,0.22,355,1006 06:13:32,拖网
23225,26.316,119.862,0.32,347,1006 06:02:42,拖网
23225,26.317,119.862,0.11,0,1006 05:52:39,拖网
23225,26.317,119.862,0.11,113,1006 05:43:27,拖网
23225,26.316,119.862,0.22,123,1006 05:33:33,拖网
23225,26.316,119.862,0.38,317,1006 05:23:31,拖网
23225,26.316,119.862,0.49,0,1006 05:12:39,拖网
23225,26.316,119.862,0.0,40,1006 05:03:29,拖网
23225,26.317,119.862,2.32,153,1006 04:53:28,拖网
23225,26.316,119.862,0.81,30,1006 04:43:28,拖网
23225,26.316,119.862,0.0,287,1006 04:33:25,拖网
23225,26.316,119.862,0.38,298,1006 04:22:35,拖网
23225,26.316,119.862,0.81,91,1006 04:13:24,拖网
23225,26.309,119.863,8.09,264,1006 04:03:43,拖网
23225,26.319000000000006,119.878,0.22,301,1006 03:53:23,拖网
23225,26.319000000000006,119.878,0.0,294,1006 03:43:23,拖网
23225,26.319000000000006,119.877,0.7,351,1006 03:33:21,拖网
23225,26.319000000000006,119.878,1.03,150,1006 03:23:21,拖网
23225,26.319000000000006,119.878,0.59,260,1006 03:13:18,拖网
